Class,H_len,H_upp_len,H_dot,H_com,H_lt,CC_exists,S_len,S_upp_len,S_emoji_has,S_lit_has,S_percent_has,S_dollar_has,S_euro_has,S_excl_has,S_dot_has,S_bold_has,S_quote_count,S_dot_count,S_dash_count,S_excl_count,Time_minutes_past,B_len,B_upp_len,B_emoji_has,B_lit_has,B_percent_has,B_dollar_has,B_euro_has,B_excl_has,B_dot_has,B_bold_has,B_quote_count,B_dot_count,B_dash_count,B_excl_count,B_subscribe_has,B_https_has,B_html_has,B_tag_len
0,42,0.05,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,24.58,21541,0,0,0,1,0,0,1,1,0,1.68,0.92,3.83,0.03,1,1,1,1.03
0,41,0.02,0,1,0,0,67,0,0,1,0,0,0,0,0,0,0,0,0,0,22.97,24431,0,0,1,1,0,0,1,1,0,2.19,0.68,1.42,0.07,1,1,1,1.3
0,20,0.0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,2.82,6851,0,0,0,0,0,0,1,1,0,3.09,0.54,2.09,0.09,0,1,1,1.68
0,30,0.03,0,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48,141974,0,0,0,1,0,0,1,1,0,1.22,0.31,1.2,0.3,1,1,1,0.64
0,38,0.05,0,1,0,0,116,0,0,1,0,0,0,0,1,0,0,2,1,0,25.43,34862,0,0,1,1,0,0,1,1,0,2.23,0.65,2.44,0.3,1,1,0,1.24
0,50,0.04,0,1,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,27.38,50355,0,0,0,1,0,0,1,1,0,1.34,0.31,2.55,0.08,1,1,1,0.69
0,33,0.06,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05,6966,0,0,0,0,0,0,0,1,0,0.23,0.53,2.78,0.0,1,1,1,0.63
0,61,0.05,0,1,0,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,12.12,6955,0,0,0,1,0,0,1,1,0,0.89,0.53,1.96,0.1,0,1,0,1.39
0,44,0.07,0,1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,13587,0,0,0,1,0,0,1,1,0,2.09,0.56,3.22,0.26,0,1,1,1.21
0,29,0.03,0,1,0,0,86,0,0,0,0,0,0,1,1,0,0,1,0,1,13.8,43975,0,0,0,1,0,0,1,1,0,2.55,0.23,2.3,0.38,1,1,0,1.58
0,35,0.06,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,7398,0,0,0,1,0,0,1,1,0,1.41,0.89,2.61,0.27,0,1,1,1.19
0,48,0.04,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,1867,0,1,1,0,0,0,1,1,0,2.25,0.8,2.41,0.27,0,0,1,1.87
0,48,0.04,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12,3010,0,1,1,0,0,0,1,1,0,2.33,0.86,2.03,0.17,0,0,0,2.36
0,48,0.06,0,0,0,0,49,0,0,1,0,0,0,0,0,0,0,0,0,0,8.0,38118,0,1,1,1,1,0,1,1,0,1.9,0.63,0.91,0.71,0,1,1,1.41
0,29,0.03,0,1,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,23207,0,0,0,1,0,0,1,1,0,2.35,0.23,2.33,0.42,1,1,0,1.54
0,22,0.05,0,1,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,12.2,8809,0,1,0,1,0,0,1,1,0,2.75,0.57,1.24,0.01,1,1,1,1.4
0,35,0.09,0,0,0,0,35,0,0,0,0,0,0,0,1,0,0,1,0,0,17.32,17107,0,0,0,1,0,0,1,1,0,2.62,0.58,1.92,0.3,0,1,1,1.13
0,34,0.0,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22.68,1516,0,1,0,0,0,0,1,1,0,0.92,1.65,0.13,0.13,0,0,0,1.98
0,24,0.04,0,0,0,0,24,0,0,1,0,0,0,1,0,0,0,0,0,1,5.52,9375,0,0,1,1,1,1,1,1,0,1.26,1.21,1.9,0.03,0,1,1,1.26
0,31,0.13,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,3036,0,0,1,1,0,0,0,1,0,0.79,1.68,0.72,0.0,0,1,0,1.05
