Class,H_len,H_upp_len,H_dot,H_com,H_lt,CC_exists,S_len,S_upp_len,S_emoji_has,S_lit_has,S_percent_has,S_dollar_has,S_euro_has,S_excl_has,S_dot_has,S_bold_has,S_quote_count,S_dot_count,S_dash_count,S_excl_count,Time_minutes_past,B_len,B_upp_len,B_emoji_has,B_lit_has,B_percent_has,B_dollar_has,B_euro_has,B_excl_has,B_dot_has,B_bold_has,B_quote_count,B_dot_count,B_dash_count,B_excl_count,B_subscribe_has,B_https_has,B_html_has,B_tag_len
1,37,0.03,0,1,0,0,37,0,0,0,0,0,0,0,1,0,0,2,0,0,15.05,7010,0,0,0,1,0,0,1,1,0,2.65,1.24,1.63,0.01,0,1,1,1.57
1,37,0.03,0,1,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,14.6,5542,0,0,1,1,0,0,1,1,0,2.67,1.03,1.53,0.02,0,1,1,1.48
1,37,0.03,0,1,0,0,39,0,0,0,0,0,0,0,1,0,0,1,0,0,11.28,7019,0,0,0,1,0,0,1,1,0,2.65,1.14,1.52,0.01,0,1,1,1.57
1,34,0.35,1,0,1,0,46,0,0,0,0,0,0,1,0,0,0,0,0,1,0.08,31065,0,0,1,1,0,0,1,1,0,4.11,0.34,2.06,0.4,1,1,1,1.69
1,30,0.03,0,1,0,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,6.48,37113,0,0,0,1,0,0,1,1,0,3.01,0.47,2.26,0.33,1,1,1,1.39
1,44,0.07,0,1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,28444,0,0,0,1,0,0,1,1,0,2.4,0.46,2.55,0.07,1,1,1,1.03
1,37,0.03,0,1,0,0,37,0,0,0,0,0,0,0,1,0,0,2,0,0,29.05,6999,0,0,0,1,0,0,1,1,0,2.66,1.24,1.56,0.01,0,1,1,1.57
1,45,0.04,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,77761,0,1,0,1,0,0,1,1,0,3.1,0.28,3.27,0.04,1,1,1,1.17
1,39,0.05,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,29.97,2122,0,0,0,1,0,0,1,1,0,2.73,1.08,2.97,0.05,0,1,1,3.06
1,17,0.18,0,0,1,0,32,0,0,1,0,0,0,1,0,0,0,0,0,1,29.58,65918,0,0,1,1,0,0,1,1,0,4.17,0.36,1.32,0.39,1,1,0,1.47
1,55,0.05,0,1,0,0,49,0,1,1,0,0,0,0,1,0,0,1,0,0,26.8,36119,0,0,1,1,0,0,1,1,0,0.73,0.68,1.77,0.51,0,1,0,1.33
1,40,0.05,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,11240,0,1,0,1,1,0,1,1,0,1.78,0.74,1.38,0.13,1,1,1,1.8
1,41,0.05,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,20840,0,0,0,1,0,0,1,1,0,1.21,0.44,2.33,0.07,0,1,1,0.92
1,40,0.05,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,12043,0,0,0,1,1,0,1,1,0,2.16,0.62,1.35,0.19,1,1,1,2.18
1,40,0.05,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,4.68,9264,0,0,0,1,0,0,1,1,0,1.77,0.85,1.23,0.18,1,1,1,1.47
1,47,0.04,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,25.33,26743,0,0,0,1,0,0,1,1,0,1.59,0.6,1.77,2.19,1,1,1,0.83
1,44,0.07,0,1,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0.37,28484,0,0,0,1,0,0,1,1,0,2.42,0.39,2.5,0.08,1,1,1,1.0
1,29,0.03,1,1,0,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,6.05,88396,0,0,0,1,0,0,1,1,0,2.3,0.43,2.65,0.21,1,1,1,1.12
1,40,0.05,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,9748,0,0,0,1,1,0,1,1,0,1.78,0.84,1.09,0.17,1,1,1,1.69
1,17,0.18,0,0,1,0,35,0,0,1,0,0,0,1,0,0,0,0,0,1,29.53,56520,0,0,1,1,0,0,1,1,0,4.07,0.37,1.36,0.41,1,1,0,1.47
1,32,0.03,0,1,0,0,50,0,0,0,0,0,1,0,1,0,0,3,1,0,2.33,205670,0,0,0,1,0,1,1,1,0,1.29,0.31,2.53,0.22,1,1,1,0.66
1,38,0.05,0,1,0,0,63,0,0,0,0,0,0,1,0,0,0,0,0,1,2.18,28153,0,0,0,1,0,0,1,1,0,3.04,0.78,2.77,0.29,1,1,1,1.39
1,30,0.03,0,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,41600,0,0,0,1,0,0,1,1,0,2.93,0.46,2.3,0.33,1,1,1,1.37
1,40,0.05,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67,7697,0,0,0,1,0,0,1,1,0,1.84,1.01,1.21,0.25,1,1,1,1.84
1,26,0.08,0,0,1,0,39,0,1,1,0,0,0,1,0,0,0,0,0,1,17.72,27294,0,1,1,1,0,0,1,1,0,2.36,0.63,3.31,0.16,0,1,1,1.07
1,44,0.07,0,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,23732,0,0,0,1,0,0,1,1,0,2.54,0.41,2.53,0.09,1,1,1,1.02
1,49,0.06,0,1,0,0,23,0,1,0,0,0,0,0,1,0,0,1,0,0,10.02,75348,0,1,0,1,0,0,1,1,0,2.06,0.4,4.09,0.27,1,1,0,1.11
1,44,0.07,0,1,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,1.35,26826,0,0,0,1,0,0,1,1,0,2.39,0.44,2.54,0.09,1,1,1,1.01
1,40,0.05,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,3,0,0,10.28,9544,0,0,0,1,0,0,1,1,0,1.53,0.72,1.04,0.3,1,1,1,1.59
1,32,0.03,0,1,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,13.08,161676,0,0,0,1,0,0,1,1,0,1.2,0.32,2.52,0.23,0,1,1,0.61
1,40,0.05,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,7595,0,0,0,1,0,0,1,1,0,2.13,0.83,1.62,0.22,1,1,1,1.97
1,17,0.18,0,0,1,0,32,0,0,1,0,0,0,1,0,0,0,0,0,1,29.65,65875,0,0,1,1,0,0,1,1,0,4.17,0.36,1.32,0.39,1,1,0,1.47
1,32,0.03,0,1,0,0,74,0,0,0,0,0,1,0,1,0,0,3,0,0,22.75,208302,0,0,0,1,0,1,1,1,0,1.23,0.31,2.63,0.21,1,1,1,0.62
1,40,0.05,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,3,0,0,25.18,12631,0,1,0,1,0,0,1,1,0,1.76,0.74,1.09,0.15,1,1,1,1.81
1,32,0.03,0,1,0,0,68,0,0,0,0,0,0,1,1,0,0,1,0,1,11.08,213156,0,0,0,1,0,1,1,1,0,1.3,0.31,2.28,0.22,1,1,1,0.67
1,41,0.02,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85,5924,0,0,0,1,0,0,1,1,0,4.49,0.91,0.96,0.25,0,1,1,2.6
